time,building,gld_object,property,complex_value,double_value
2022-08-10 19:55:00,R1,msource,measured_voltage_A,(12470+1.5097390636048344e-19j),N/A
2022-08-10 19:55:00,R1,msource,measured_voltage_B,(-6234.999999999997-10799.33678519195j),N/A
2022-08-10 19:55:00,R1,msource,measured_voltage_C,(-6234.999999999997+10799.33678519195j),N/A
2022-08-10 19:55:00,R1,msource,measured_current_A,(-2.1268711425658057e-19-2.5001829761016632e-20j),N/A
2022-08-10 19:55:00,R1,msource,measured_current_B,(2.2076019307765566e-19+2.6965127730230514e-20j),N/A
2022-08-10 19:55:00,R1,msource,measured_current_C,(2.1268711425658057e-19+2.5001829761016632e-20j),N/A
2022-08-10 19:55:00,R1,msource,measured_power_A,(-1.8837395828449563e-05-8.701762688823652e-05j),N/A
2022-08-10 19:55:00,R1,msource,measured_power_B,(-0.00023061233649938662+0.00031558204074305163j),N/A
2022-08-10 19:55:00,R1,msource,measured_power_C,(-0.0004095405027206093+8.016325195676316e-05j),N/A
2022-08-10 20:00:00,R1,msource,measured_voltage_A,(12312.235053080933+1.626933983614456e-13j),N/A
2022-08-10 20:00:00,R1,msource,measured_voltage_B,(-6156.117526540464-10662.708333333334j),N/A
2022-08-10 20:00:00,R1,msource,measured_voltage_C,(-6156.1175265404645+10662.708333333334j),N/A
2022-08-10 20:00:00,R1,msource,measured_current_A,(-3.7981279342040263e-13+1.2543238462048956e-12j),N/A
2022-08-10 20:00:00,R1,msource,measured_current_B,(7.54540006685516e-14+1.3589585060102778e-12j),N/A
2022-08-10 20:00:00,R1,msource,measured_current_C,(3.7981279342040263e-13-1.2543238462048956e-12j),N/A
2022-08-10 20:00:00,R1,msource,measured_power_A,(80.27332311667531+47.18177604323312j),N/A
2022-08-10 20:00:00,R1,msource,measured_power_B,(1279598.2732494578-738681.2850816813j),N/A
2022-08-10 20:00:00,R1,msource,measured_power_C,(1279752.0050981608+738879.9238608846j),N/A
2022-08-10 20:05:00,R1,msource,measured_voltage_A,(12314.303891545529-2.0287198379422667e-12j),N/A
2022-08-10 20:05:00,R1,msource,measured_voltage_B,(-6157.151945772762-10664.500000000002j),N/A
2022-08-10 20:05:00,R1,msource,measured_voltage_C,(-6157.151945772762+10664.5j),N/A
2022-08-10 20:05:00,R1,msource,measured_current_A,(-4.1609587637001164e-13+5.1847771704810405e-12j),N/A
2022-08-10 20:05:00,R1,msource,measured_current_B,(1.3162293807440098e-13-2.722687841155539e-12j),N/A
2022-08-10 20:05:00,R1,msource,measured_current_C,(-5.228390684359179e-12-3.1747484440909895e-12j),N/A
2022-08-10 20:05:00,R1,msource,measured_power_A,(79.53422815739334+46.40039478747396j),N/A
2022-08-10 20:05:00,R1,msource,measured_power_B,(1279816.6672127277-738809.1663307755j),N/A
2022-08-10 20:05:00,R1,msource,measured_power_C,(1279973.1386832453+739000.969036094j),N/A
2022-08-10 20:10:00,R1,msource,measured_voltage_A,(12309.10773912282+9.284013582311062e-13j),N/A
2022-08-10 20:10:00,R1,msource,measured_voltage_B,(-6154.553869561408-10659.999999999996j),N/A
2022-08-10 20:10:00,R1,msource,measured_voltage_C,(-6154.553869561408+10660j),N/A
