time,building,gld_object,property,complex_value,double_value
2022-08-10 19:55:00,R1,msource,measured_voltage_A,(12470-6.437319587672542e-13j),N/A
2022-08-10 19:55:00,R1,msource,measured_voltage_B,(-6234.999999999997-10799.33678519195j),N/A
2022-08-10 19:55:00,R1,msource,measured_voltage_C,(-6234.999999999997+10799.33678519195j),N/A
2022-08-10 19:55:00,R1,msource,measured_current_A,(9.068685838864917e-13+1.0660436119600404e-13j),N/A
2022-08-10 19:55:00,R1,msource,measured_current_B,(-9.412910809129935e-13-1.149755935356385e-13j),N/A
2022-08-10 19:55:00,R1,msource,measured_current_C,(-9.068685838864917e-13-1.0660436119600404e-13j),N/A
2022-08-10 19:55:00,R1,msource,measured_power_A,(1.1308651241064551e-08-1.329356384114171e-09j),N/A
2022-08-10 19:55:00,R1,msource,measured_power_B,(7.110610046161211e-09+9.448446569982077e-09j),N/A
2022-08-10 19:55:00,R1,msource,measured_power_C,(4.503069221206378e-09-1.0458257449357408e-08j),N/A
2022-08-10 20:00:00,R1,msource,measured_voltage_A,(12470-6.437319587672542e-13j),N/A
2022-08-10 20:00:00,R1,msource,measured_voltage_B,(-6234.999999999997-10799.33678519195j),N/A
2022-08-10 20:00:00,R1,msource,measured_voltage_C,(-6234.999999999997+10799.33678519195j),N/A
2022-08-10 20:00:00,R1,msource,measured_current_A,(9.068685838864917e-13+1.0660436119600404e-13j),N/A
2022-08-10 20:00:00,R1,msource,measured_current_B,(-9.412910809129935e-13-1.149755935356385e-13j),N/A
2022-08-10 20:00:00,R1,msource,measured_current_C,(-9.068685838864917e-13-1.0660436119600404e-13j),N/A
2022-08-10 20:00:00,R1,msource,measured_power_A,(1.1308651241064551e-08-1.329356384114171e-09j),N/A
2022-08-10 20:00:00,R1,msource,measured_power_B,(7.110610046161211e-09+9.448446569982077e-09j),N/A
2022-08-10 20:00:00,R1,msource,measured_power_C,(4.503069221206378e-09-1.0458257449357408e-08j),N/A
2022-08-10 20:05:00,R1,msource,measured_voltage_A,(12470-6.437319587672542e-13j),N/A
2022-08-10 20:05:00,R1,msource,measured_voltage_B,(-6234.999999999997-10799.33678519195j),N/A
2022-08-10 20:05:00,R1,msource,measured_voltage_C,(-6234.999999999997+10799.33678519195j),N/A
2022-08-10 20:05:00,R1,msource,measured_current_A,(9.068685838864917e-13+1.0660436119600404e-13j),N/A
2022-08-10 20:05:00,R1,msource,measured_current_B,(-9.412910809129935e-13-1.149755935356385e-13j),N/A
2022-08-10 20:05:00,R1,msource,measured_current_C,(-9.068685838864917e-13-1.0660436119600404e-13j),N/A
2022-08-10 20:05:00,R1,msource,measured_power_A,(1.1308651241064551e-08-1.329356384114171e-09j),N/A
2022-08-10 20:05:00,R1,msource,measured_power_B,(7.110610046161211e-09+9.448446569982077e-09j),N/A
2022-08-10 20:05:00,R1,msource,measured_power_C,(4.503069221206378e-09-1.0458257449357408e-08j),N/A
2022-08-10 20:10:00,R1,msource,measured_voltage_A,(12207.494091745446-2.9750507458815775e-13j),N/A
